"id","name"
"513","Mandalay Resort Group"
"514","Manor Care Inc."
"515","Manpower Inc."
"516","Marathon Oil Corporation"
"517","Mariner Health Care Inc."
"518","Markel Corporation"
"519","Marriott International Inc."
"520","Marsh & McLennan Companies Inc."
"521","Marsh Supermarkets Inc."
"522","Marshall & Ilsley Corporation"
"523","Martin Marietta Materials Inc."
"524","Masco Corporation"
"525","Massey Energy Company"
"526","MasTec Inc."
"527","Mattel Inc."
"528","Maxim Integrated Products Inc."
"529","Maxtor Corporation"
"530","Maxxam Inc."
"531","The May Department Stores Company"
"532","Maytag Corporation"
"533","MBNA Corporation"
"534","McCormick & Company Incorporated"
"535","McDonald's Corporation"
"536","The McGraw-Hill Companies Inc."
"537","McKesson Corporation"
"538","McLeodUSA Incorporated"
"539","M.D.C. Holdings Inc."
"540","MDU Resources Group Inc."
"541","MeadWestvaco Corporation"
"542","Medtronic Inc."
"543","Mellon Financial Corporation"
"544","The Men's Wearhouse Inc."
"545","Merck & Co., Inc."
"546","Mercury General Corporation"
"547","Merrill Lynch & Co. Inc."
"548","Metaldyne Corporation"
"549","Metals USA Inc."
"550","MetLife Inc."
"551","Metris Companies Inc"
"552","MGIC Investment Corporation"
"553","MGM Mirage"
"554","Michaels Stores Inc."
"555","Micron Technology Inc."
"556","Microsoft Corporation"
"557","Milacron Inc."
"558","Millennium Chemicals Inc."
"559","Mirant Corporation"
"560","Mohawk Industries Inc."
"561","Molex Incorporated"
"562","The MONY Group Inc."
"563","Morgan Stanley Dean Witter & Co."
"564","Motorola Inc."
"565","MPS Group Inc."
"566","Murphy Oil Corporation"
"567","Nabors Industries Inc"
"568","Nacco Industries Inc"
"569","Nash Finch Company"
"570","National City Corp."
"571","National Commerce Financial Corporation"
"572","National Fuel Gas Company"
"573","National Oilwell Inc"
"574","National Rural Utilities Cooperative Finance Corporation"
"575","National Semiconductor Corporation"
"576","National Service Industries Inc"
"577","Navistar International Corporation"
"578","NCR Corporation"
"579","The Neiman Marcus Group Inc."
"580","New Jersey Resources Corporation"
"581","New York Times Company"
"582","Newell Rubbermaid Inc"
"583","Newmont Mining Corporation"
"584","Nextel Communications Inc"
"585","Nicor Inc"
"586","Nike Inc"
"587","NiSource Inc"
"588","Noble Energy Inc"
"589","Nordstrom Inc"
"590","Norfolk Southern Corporation"
"591","Nortek Inc"
"592","North Fork Bancorporation Inc"
"593","Northeast Utilities System"
"594","Northern Trust Corporation"
"595","Northrop Grumman Corporation"
"596","NorthWestern Corporation"
"597","Novellus Systems Inc"
"598","NSTAR"
"599","NTL Incorporated"
"600","Nucor Corp"
"601","Nvidia Corp"
"602","NVR Inc"
"603","Northwest Airlines Corp"
"604","Occidental Petroleum Corp"
"605","Ocean Energy Inc"
"606","Office Depot Inc."
"607","OfficeMax Inc"
"608","OGE Energy Corp"
"609","Oglethorpe Power Corp."
"610","Ohio Casualty Corp."
"611","Old Republic International Corp."
"612","Olin Corp."
"613","OM Group Inc"
"614","Omnicare Inc"
"615","Omnicom Group"
"616","On Semiconductor Corp"
"617","ONEOK Inc"
"618","Oracle Corp"
